"","lhs","rhs","cors","p.values","ci.low","ci.high"
"1","BlackPOS_1","BlackPOS_2",0.542468120256908,0,0.42845541638498,0.656480824128836
"2","BlackPOS_1","BlackNEG_1",0.163871203323377,0.0157193438504604,0.0308969595460891,0.296845447100666
"3","BlackPOS_1","BlackNEG_2",0.046022801187668,0.559425455566737,-0.108515125786734,0.20056072816207
"4","BlackPOS_1","ValDiv_1",0.217320845767316,0.00104203471528996,0.0874181849734985,0.347223506561134
"5","BlackPOS_1","ValDiv_2",0.223324041491272,0.00262720858405907,0.0778238287670941,0.368824254215451
"6","BlackPOS_2","BlackNEG_1",0.0794165484651419,0.341654609855315,-0.084274063848133,0.243107160778417
"7","BlackPOS_2","BlackNEG_2",-0.0464334958204998,0.571543559413675,-0.207287591877852,0.114420600236852
"8","BlackPOS_2","ValDiv_1",0.217331348046188,0.00330281248581255,0.0723504000673514,0.362312296025025
"9","BlackPOS_2","ValDiv_2",0.328011013919655,5.08848045543964e-06,0.187060611152803,0.468961416686506
"10","BlackNEG_1","BlackNEG_2",0.551211537245804,0,0.435356621487309,0.667066453004299
"11","BlackNEG_1","ValDiv_1",-0.0194830369438996,0.779344137948525,-0.155777171626712,0.116811097738913
"12","BlackNEG_1","ValDiv_2",-0.1686009364818,0.0372937465576777,-0.327278685972188,-0.0099231869914114
"13","BlackNEG_2","ValDiv_1",-0.0817505769335707,0.288508349905993,-0.232709923680194,0.0692087698130523
"14","BlackNEG_2","ValDiv_2",-0.28238025282016,0.000185549367030191,-0.43044527467093,-0.13431523096939
"15","ValDiv_1","ValDiv_2",0.460013582373372,1.66089364483923e-13,0.337739295668835,0.58228786907791
